"","ArrivalDate","n"
"981",2016-09-13,4
"982",2016-09-14,6
"983",2016-09-15,6
"984",2016-09-16,6
"985",2016-09-17,14
"986",2016-09-18,13
"987",2016-09-19,10
"988",2016-09-20,8
"989",2016-09-21,14
"990",2016-09-22,14
"991",2016-09-23,8
"992",2016-09-24,21
"993",2016-09-25,16
"994",2016-09-26,10
"995",2016-09-27,1
"996",2016-09-28,8
"997",2016-09-29,7
"998",2016-09-30,5
"999",2016-10-01,23
"1000",2016-10-02,11
"1001",2016-10-03,12
"1002",2016-10-04,9
"1003",2016-10-05,12
"1004",2016-10-06,18
"1005",2016-10-07,23
"1006",2016-10-08,17
"1007",2016-10-09,20
"1008",2016-10-10,10
"1009",2016-10-11,5
"1010",2016-10-12,9
"1011",2016-10-13,4
"1012",2016-10-14,10
"1013",2016-10-15,14
"1014",2016-10-16,16
"1015",2016-10-17,7
"1016",2016-10-18,7
"1017",2016-10-19,8
"1018",2016-10-20,7
"1019",2016-10-21,7
"1020",2016-10-22,9
"1021",2016-10-23,17
"1022",2016-10-24,7
"1023",2016-10-25,7
"1024",2016-10-26,9
"1025",2016-10-27,6
"1026",2016-10-28,6
"1027",2016-10-29,12
"1028",2016-10-30,9
"1029",2016-10-31,11
"1030",2016-11-01,6
"1031",2016-11-02,8
"1032",2016-11-03,8
"1033",2016-11-04,15
"1034",2016-11-05,12
"1035",2016-11-06,15
"1036",2016-11-07,12
"1037",2016-11-08,11
"1038",2016-11-09,3
"1039",2016-11-10,10
"1040",2016-11-11,6
"1041",2016-11-12,17
"1042",2016-11-13,17
"1043",2016-11-14,10
"1044",2016-11-15,5
"1045",2016-11-16,6
"1046",2016-11-17,4
"1047",2016-11-18,14
"1048",2016-11-19,15
"1049",2016-11-20,11
"1050",2016-11-21,11
"1051",2016-11-22,10
"1052",2016-11-23,7
"1053",2016-11-25,31
"1054",2016-11-26,34
"1055",2016-11-27,26
"1056",2016-11-28,15
"1057",2016-11-29,13
"1058",2016-11-30,9
"1059",2016-12-01,7
"1060",2016-12-02,5
"1061",2016-12-03,4
"1062",2016-12-04,15
"1063",2016-12-05,6
"1064",2016-12-06,4
"1065",2016-12-07,14
"1066",2016-12-08,14
"1067",2016-12-09,6
"1068",2016-12-10,22
"1069",2016-12-11,18
"1070",2016-12-12,10
"1071",2016-12-13,14
"1072",2016-12-14,9
"1073",2016-12-15,11
"1074",2016-12-16,6
"1075",2016-12-17,11
"1076",2016-12-18,16
"1077",2016-12-19,7
"1078",2016-12-20,15
"1079",2016-12-21,16
"1080",2016-12-22,10
"1081",2016-12-23,10
"1082",2016-12-24,18
"1083",2016-12-25,1
"1084",2016-12-26,12
"1085",2016-12-27,12
"1086",2016-12-28,9
"1087",2016-12-29,7
"1088",2016-12-30,18
"1089",2016-12-31,23
"1090",2017-01-01,2
"1091",2017-01-02,22
"1092",2017-01-03,12
"1093",2017-01-05,8
"1094",2017-01-06,11
"1095",2017-01-07,17
"1096",2017-01-08,16
"1097",2017-01-09,10
"1098",2017-01-10,12
"1099",2017-01-11,6
"1100",2017-01-12,13
"1101",2017-01-13,12
"1102",2017-01-14,16
"1103",2017-01-15,13
"1104",2017-01-16,11
"1105",2017-01-17,6
"1106",2017-01-18,9
"1107",2017-01-19,6
"1108",2017-01-20,6
"1109",2017-01-21,5
"1110",2017-01-22,19
"1111",2017-01-23,14
"1112",2017-01-24,15
"1113",2017-01-25,8
"1114",2017-01-26,6
"1115",2017-01-27,8
"1116",2017-01-28,38
"1117",2017-01-29,44
"1118",2017-01-30,9
"1119",2017-01-31,16
"1120",2017-02-01,3
"1121",2017-02-02,10
"1122",2017-02-03,17
"1123",2017-02-04,14
"1124",2017-02-05,18
"1125",2017-02-06,12
"1126",2017-02-07,5
"1127",2017-02-08,9
"1128",2017-02-09,7
"1129",2017-02-10,23
"1130",2017-02-11,48
"1131",2017-02-12,51
"1132",2017-02-13,13
"1133",2017-02-14,17
"1134",2017-02-15,6
"1135",2017-02-16,7
"1136",2017-02-17,7
"1137",2017-02-18,9
"1138",2017-02-19,15
"1139",2017-02-20,13
"1140",2017-02-21,13
"1141",2017-02-22,12
"1142",2017-02-23,8
"1143",2017-02-24,8
"1144",2017-02-25,12
"1145",2017-02-26,20
"1146",2017-02-27,9
"1147",2017-02-28,8
"1148",2017-03-01,11
